code,name,shortdesc,longdesc
code,Food Code,Unique identifier for food items.,"A system of codes used to identify specific food items, often used in dietary assessment and food composition databases. It helps in standardizing food identification for nutritional analysis and research. For the human body, this code itself has no direct impact, but the food it represents does."
name,Food Name,Common name of the food.,"The common name of a food item. This is how food is generally identified in everyday language. For the human body, the food name itself has no direct impact, but the nutritional content of the food it represents does."
scie,Scientific Name,Taxonomic classification of the food source.,"The formal scientific name (genus and species) of the food source (plant or animal). This provides precise identification. For the human body, the scientific name itself has no direct impact, but the nutritional properties of the organism it identifies do."
lang,Local Name,Regional/cultural name for the food.,"The name of a food item in a local language or dialect. This aids in regional identification. For the human body, the local name itself has no direct impact."
grup,Food Group,"Category (e.g., grains, dairy) for dietary classification.","A classification of foods based on similar nutritional properties or biological classifications (e.g., fruits, vegetables, grains, dairy). Food groups help in planning a balanced diet to ensure adequate intake of various nutrients essential for human health."
regn,No. of Regions,Geographic prevalence of the food.,Indicates the number of geographical regions where the food item is typically found or consumed. This is more of a data descriptor and has no direct impact on the human body.
tags,Tags,"Keywords (e.g., gluten-free, fermented) for filtering.","Descriptive keywords or labels associated with the food item, which can relate to its characteristics, culinary use, or nutritional aspects."
water,Moisture,"Hydration, cellular function. Low moisture impacts food preservation.","The amount of water present in a food item. Water is essential for all forms of life. In the human body, it constitutes a majority of body weight (around 60% in adult males) and is crucial for regulating body temperature, transporting nutrients, flushing waste, acting as a shock absorber, forming saliva, and lubricating joints."
protcnt,Protein,"Tissue repair, enzyme/hormone synthesis. Excess strains kidneys.","A macronutrient composed of amino acids. Proteins are essential for building and repairing tissues, producing enzymes and hormones, and supporting immune function. They are a critical component for the structure, function, and regulation of the body's tissues and organs."
ash,Ash,Inorganic residue (minerals) after combustion. Indicates mineral content.,"The inorganic residue remaining after the combustion of a food sample. Ash content represents the total mineral content in a food. These minerals are vital for various bodily functions, including bone health, nerve function, and fluid balance."
fatce,Total Fat,"Energy storage, insulation. Excess trans fats harm heart health.","A macronutrient that is a concentrated source of energy. Fats are essential for absorbing fat-soluble vitamins (A, D, E, K), insulating the body, protecting organs, and forming cell membranes. Dietary fats include saturated, trans, monounsaturated, and polyunsaturated fats. Excessive intake, especially of saturated and trans fats, can increase the risk of heart disease."
fibtg,Dietary Fiber,Digestive health: soluble (cholesterol/blood sugar) vs. insoluble (bowel regularity).,"A type of carbohydrate that the body cannot digest. Dietary fiber promotes bowel health by adding bulk to stool and preventing constipation. It can also help lower cholesterol, stabilize blood sugar levels, and aid in weight management. It's found in plant-based foods."
fibins,Insoluble Dietary Fiber,Adds bulk to stool; excess causes bloating.,"A type of dietary fiber that does not dissolve in water. It adds bulk to the stool and helps food pass more quickly through the stomach and intestines, aiding in the prevention of constipation."
fibsol,Soluble Dietary Fiber,Lowers LDL cholesterol; binds to glucose for slower absorption.,A type of dietary fiber that dissolves in water to form a gel-like material. It can help lower blood cholesterol and glucose levels by slowing down digestion and nutrient absorption.
choavldf,Carbohydrate,Primary energy source. Refined carbs spike blood sugar.,"A macronutrient that is the body's primary source of energy. Carbohydrates are broken down into glucose, which fuels cells, tissues, and organs. They include sugars, starches, and fiber. Choosing whole grains and fiber-rich carbohydrates is beneficial for health."
enerc,Energy,Calories from macronutrients. Imbalance affects weight/metabolism.,"The capacity to do work, provided to the body by carbohydrates, fats, and proteins in food, measured in calories or joules. Energy is required for basal metabolism (basic life functions), physical activity, metabolic response to food, growth, pregnancy, and lactation."
thia,Thiamine (B1),Converts carbs to energy; supports nerve function. Deficiency: beriberi.,A B-vitamin that helps the body convert food into energy and is essential for nerve function and overall nervous system health. Deficiency can lead to conditions like beriberi.
ribf,Riboflavin (B2),"Energy metabolism, skin/eye health. Deficiency: cheilosis (mouth cracks).","A B-vitamin that helps the body convert food into energy, metabolize fats and protein, and works as an antioxidant. It's important for healthy skin, eyes, hair, liver, and nerve function, as well as red blood cell production."
nia,Niacin (B3),"DNA repair, metabolism. Deficiency: pellagra; excess: liver damage.","A B-vitamin that the body uses to turn food into energy and helps keep the nervous system, digestive system, and skin healthy. Prescription niacin can be used to manage cholesterol levels, but high doses can cause side effects."
pantac,Pantothenic acid (B5),Synthesizes coenzyme A (fatty acid metabolism). Rarely deficient.,"A B-vitamin (also known as pantothenic acid) necessary for synthesizing coenzyme A (CoA), which is vital for energy generation, hormone synthesis, and maintaining healthy skin, hair, and nails. Deficiency is rare."
vitb6c,Total B6,"Neurotransmitter synthesis, immune function. Excess: neuropathy.","A B-vitamin involved in over 100 enzyme reactions, primarily concerning protein metabolism. It helps make antibodies, maintain normal nerve function, produce hemoglobin (carrying oxygen in red blood cells), and keep blood sugar in normal ranges. Deficiency can cause anemia, confusion, and depression."
biot,Biotin (B7),"Metabolizes fats/amino acids. Deficiency: hair loss, dermatitis.","A B-vitamin (also known as Vitamin H) that acts as a coenzyme for several carboxylases involved in metabolic processes like the breakdown of food into glucose. It's often promoted for hair and nail growth, though strong evidence for this is limited. Deficiency is rare but can cause skin and neurological issues."
folsum,Folates (B9),"DNA/RNA synthesis, fetal neural development. Deficiency: megaloblastic anemia.","A B-vitamin crucial for red blood cell formation, healthy cell growth, and function. It's particularly important during early pregnancy to reduce the risk of neural tube defects in the fetus. Folate deficiency can lead to anemia and other health problems."
vitc,Ascorbic acids (C),"Collagen production, antioxidant. Deficiency: scurvy (bleeding gums).","An essential vitamin and antioxidant that protects cells, maintains healthy skin, blood vessels, bones, and cartilage, and aids in wound healing. It also improves iron absorption. Lack of Vitamin C can lead to scurvy."
retol,Retinol,"Vision (retinal), immune function. Excess: hypervitaminosis A (toxic).","A form of Vitamin A, a fat-soluble vitamin essential for normal vision (especially night vision), immune function, reproduction, cell growth, and the health of skin and mucous membranes. It comes from animal sources."
ergcal,Ergocalciferol (D2),Plant-derived vitamin D; enhances calcium absorption.,"A form of Vitamin D, obtained from plant sources and supplements. It helps the body absorb calcium, which is crucial for bone health. It's used to treat hypoparathyroidism, vitamin D resistant rickets, and vitamin D deficiency."
chocal,Cholecalciferol (D3),Sunlight-derived vitamin D; regulates bone health.,"A form of Vitamin D, synthesized in the skin upon sun exposure and found in some animal foods and supplements. It's essential for calcium absorption, bone health, muscle function, nerve transmission, and immune system support."
doh25,25-OH-D3,Active vitamin D form; biomarker for deficiency (osteoporosis risk).,"25-hydroxyvitamin D3, the major circulating form of vitamin D in the blood. Its levels are measured to assess an individual's vitamin D status. It is a precursor to the active form of vitamin D (1,25-dihydroxyvitamin D3) and plays a key role in bone health and immune function."
tocpha,α-Tocopherol,Primary antioxidant vitamin E; protects cell membranes.,"The most biologically active form of Vitamin E, a fat-soluble antioxidant that protects cell membranes from damage by free radicals. It boosts the immune system and helps prevent blood clots."
tocphb,β-Tocopherol,Less active vitamin E form; contributes to antioxidant activity.,"A form of Vitamin E with antioxidant properties, though less biologically active than α-tocopherol. It contributes to the overall Vitamin E activity in the body, protecting cells from oxidative damage."
tocphg,γ-Tocopherol,Anti-inflammatory vitamin E form; neutralizes nitrogen radicals.,"A common form of Vitamin E found in the US diet, particularly in soybean and corn oils. It has antioxidant and anti-inflammatory properties and may be more effective at trapping certain types of free radicals than α-tocopherol. It's metabolized to γ-CEHC, which may have natriuretic effects."
tocphd,δ-Tocopherol,Minor vitamin E variant; supports lipid oxidation prevention.,"A form of Vitamin E with antioxidant properties, found in smaller amounts in plant-based foods. It contributes to the overall Vitamin E activity and is considered a good antioxidant, offering protection during food processing and storage."
