code,name,scie,grup,desc
A001,"Amaranth seed, black",Amaranthus cruentus,Cereals and Millets,A. Moricha guti; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag manji Dhala; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu.
A002,"Amaranth seed, pale brown",Amaranthus cruentus,Cereals and Millets,A. Moricha guti; G. Rajagaro; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag maji kale; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu.
A003,Bajra,Pennisetum typhoideum,Cereals and Millets,"A., Kash. Baajra; B. Bajra; E. Pearl millet; G. Bajri; H. Bajra; Kan. Sajje; Kh. Krai; Mal. Kambam; Mar. Bajra; N. Bajara; O. Bajra; P. Bajra; Tam. Kambu; Tel. Sajjalu; U. Bajra."
A004,Barley,Hordeum vulgare,Cereals and Millets,A. Barli; B. Barley; G. Jav; H. Jau; Kan. Barley; Kash. Wushke; Kh. Krai; Mal. Barley; Mar. Sath; N. Jau; O. Jaba; P. Jao; S. Yava; Tam. Baarli Arisi; Tel. Barley; U. Jau.
A005,Jowar,Sorghum vulgare,Cereals and Millets,A. Jowar; B. Jowar; E. Sorghum; G. Jowar; H. Jowar; Kan. Jolada; Kash. Pingu; Kh. Krai; Mal. irunku; Mar. Jondhahlaa; O. Janha; P. Javara; Tam. Cholam; Tel. Jonna; U. Jowar.
A006,"Maize, dry",Zea mays,Cereals and Millets,A. Makoi; B. Bhutta; E. Corn; G. Makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Symbai riewhadem stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Sukha makai; O. Maka; P. Chhali; S. Yaavanaala; Tam. Makka Cholam; Tel. Mokkajonna; U. makai.
A007,"Maize, tender, local",Zea mays,Cereals and Millets,A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem Stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. Makai.
A008,"Maize, tender, sweet",Zea mays,Cereals and Millets,A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem lieh; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. makai.
A009,Quinoa,Chenopodium quinoa,Cereals and Millets,H. Kinwa; Tam. Seemai Thinai
A010,Ragi,Eleusine coracana,Cereals and Millets,A. Ragi; B. Ragi; E. Finger millet; G. Bavato; H. Ragi; Kan. Bhakri; Kh. Ukrai; Mal. Panjapulle; Mar. Bhakri; N. Kodo; O. Mandia; P.  Mandal; S. Madhulika; Tam. Kelvaragu; Tel. Ragi; U. Mandwa.
A011,"Rice, flakes",Oryza sativa,Cereals and Millets,"A. Chira, Chiura; B. Chide, Chira; E. Flattened rice, Beaten rice; G. Paunva; H. Poha; Kan. Avalakki; Kash. Chevri; Kh. Shira; Mal. Aval; M. Chengpaak; Mar. Pohe; O. Chudaa, Chuda; P. Chirwre; Tam. Aval; Tel. Atukulu, Attukulu."
A012,"Rice, puffed",Oryza sativa,Cereals and Millets,A. Muri; B. Muri; G. Mamra; H. Muramure; Kan. Kalle Puri; Kash. Tomul; Kh. Muri; Mal. Pori; M. Kabok Mur; Mar. Chirmure; N. Murai; O. Mudhi; P. Phulian; Tam. Pori; Tel. Maramaralu; U. Murmure.
A013,"Rice, raw, brown",Oryza sativa,Cereals and Millets,A. Matia rangar chaul; E. Whole grain rice; G. Kathai chokha; H. Chawal; P. Bhura choul; Kash. Tomul; Kh. Khaw saw; Mal. Kuthari ; M. Cheng; Tam. Arisi; Tel. Dampudu biyyam.
A014,"Rice, parboiled, milled",Oryza sativa,Cereals and Millets,A. Ukhua chaul; B. Siddha chowl; E. Converted rice; G. Bafela Chokha; H. Usna chawal; Kan. Kusubalakki; Kash. Tomul; Kh. Khaw boil; Mal. Puzhungal ari; M. Cheng; Mar. Ukadla tandool; O. Usuna chaula; P. Biga hua chawal; Tam. Puzhungal arisi; Tel. Uppudu biyyam.
A015,"Rice, raw, milled",Oryza sativa,Cereals and Millets,A. Milat khunda chaul; B. Chowl; G. Choka; H. Chawal; Kan. Akki; Kash. Tomul; Kh. Khaw boil; M. Cheng; Mar. Tondool; O. Chaula; P. Chaul; Tam. Arisi; Tel. Biyyam.
A016,Samai,Panicum sumatrense,Cereals and Millets,B. Sama; E. Little millet; G. Kuri; H. Shavan; Kan. Sama; Kash. Ganuhaar; Mal. Chama; Mar. Sava; O. Suan; P. Swank; Tam. Samai; Tel. Sama.
A017,Varagu,Setaria italica,Cereals and Millets,A. Konidhan; B. Syama dhan; E. Kodo millet; G. Ral gana; Kan. Priyangu thene; Kash. Snol; Mal. Thina; Mar. Rala; P. Kangni; Tam. Thinai; Tel. Karralu.
A018,"Wheat flour, refined",Triticum aestivum,Cereals and Millets,A. Moida; B. Maida; G. Maido; H. Maida; Kan. Maida; Kash. Oat; Kh. Moida; Mal. Maida mavu; M. Moida; Mar. Maida; N. Maida; O. Maida; P. Maida; Tam. Maida mavu; Tel. Maida pindi; U. Maida.
A019,"Wheat flour, atta",Triticum aestivum,Cereals and Millets,B. Ata; G. Samagra gha; H. Atta; Kan. Sampurna godhi hittu; Kash. Oat unno lota ghaun no lot; Mal. Godhambu mavu; Mar. Kaneek; O. Gahama atta; P. Atta; Tam. Mulu Godumai maavu; Tel. Sampurna godhuma pindi.
A020,"Wheat, whole",Triticum aestivum,Cereals and Millets,A. Ghehu; B. Gom; G. Ghaun; H. Gehun; Kan. Godhi; Kash. Kinek; Kh. Ukew; Mal. Godhumbu; M. Ghehu; Mar. Gehu; N. Gau; O. Gahama; P. Kanaka; S. Godhum; Tam. Godumai; Tel. Godhumalu; U. Gehun.
A021,"Wheat, bulgur",Triticum aestivum,Cereals and Millets,"A. Dalia; B. Dalia; E. Burghul, Groats, Durum Wheat, Pasta wheat, Macaroni wheat; G. Bulgur ghaum; H. Dalia; Kan. Bulgur godhi; Kash. Kinek; Kh. Kew; Mal. Godhambu Ravu; Mar. Bulgur gahu; N. Gau ko pitho; O. Dalia; P. Dalia; Tam. Godumai ravai; Tel. Bulgur; U. Dalia."
A022,"Wheat, semolina",Triticum aestivum,Cereals and Millets,"A. Suji; B. Suji; E. Durum wheat, Pasta wheat, Macaroni wheat; G. Ghaum soji; H. Gehun suji; Kan. Godhi rave; Kash. Sooj; Kh. Suji; Mal. Uppumavu; M. Suji; Mar. Gahu rava; N. Suji; O. Suji; P. Suji; Tam. Godumai ravai; Tel. Godhuma rava."
A023,"Wheat, vermicelli",Triticum aestivum,Cereals and Millets,A. Sewai; B. Semai; E. Very thin pasta; G. Ghaun ni sev; H. Siwain; Kan. Shevige; Kash. Sewian; Kh. Sewai lieh; Mal. Semiya; Mar. Siwain; O. Simai; P. Sevian; Tam. Semiya; Tel. Semiya; U. Semiya.
A024,"Wheat, vermicelli, roasted",Triticum aestivum,Cereals and Millets,A. Gom sewai; B. Semai; E. Very thin pasta; G. Ghaun ni Shekeli sev; H. Siwain; Kan. Shevige; Kash. Sewian; Kh. Sewai saw; Mal. Semiya; Mar. Siwain; O. Simai; P. Bhooni sevian; Tam. Semiya; Tel. Semiya; U. Semiya.
B001,"Bengal gram, dal",Cicer arietinum,Grain Legumes,"A. Boot dail; B. Cholar dal; E. Split Bengal gram, Chickpea; G. Chana-ni-daad; H. Chan-ki-dal; Kan. Kadale bele; Kash. Chanu dal; Kh. Dai shana; Mal. Kadala parippu; M. Chana Tangkhai; Mar. Harabara dal; N. Chana ko Dal; O. Channa dali (Buta dali); P. Sholedi dal; Tam. Kadalaiparuppu; Tel. Sanaga papu; U. Chane ki dal."
B002,"Bengal gram, whole",Cicer arietinum,Grain Legumes,"A. Boot; B. Chola; E. Chickpea; G. Chana; H. Chana, Kala chana; Kan. Kadale; Kash. Chanu; Kh. Shana kulai; Mal. Kadala; Mar. Harbara; M. Chana Mapum; N. Kabuli Chana; O. Buta; P. Shole; S. Chanak; Tam. Kondaikadalai; Tel. Sanagalu; U. Chana."
B003,"Black gram, dal",Phaseolus mungo,Grain Legumes,"A. Matir dail phola; B. Biulir dal; E. Urad bean, Mungo bean, Black matpe bean; G. Aadad ni daad; H. Urad dal; Kan. Uddhina bele; Kash. Kaha; Mal. Uzhunnu parippu; M. Sagol Hawai Tangkhai; Mar. Uddachi dal; N. Maas ko dal; O. Birri dali, Biri dali; P. Maa ki daal; S. Maassa; Tam. Ulutham paruppu; Tel. Minapa pappu; U. Mash ki dal."
B004,"Black gram, whole",Phaseolus mungo,Grain Legumes,"A. Gota mati mah; B. Mashkolail; E. Urad bean, Mungo bean, Black matpe bean; G. Adad; H. Chhilke wali urad dal; Kan. Uddhina bele; Kash. Kaha; Kh. Dai iong; Mal. Uzhunu; M. Sagol Hawai; Mar. Uddachi dal; O. Birri, Biri; P. Sabut maa ki daal; Tam. Ulundhu; Tel. Minumulu Mapum"
B005,"Cowpea, brown",Vigna catjang,Grain Legumes,"A. Lesera mahor guti; B. Barbati; E. Black eyed peas, Lobia peas; G. Chorap; H. Lobia; Kan. Alasande; Kh. Rymbai; Mal. Vella payaru; M. Pong Hawai; Mar. Chavli; N. Bodi; O. Jhudunga; P. Lobia; S. Raajamaassa; Tam. Karamani; Tel. Bobbarlu; U. baunir."
B006,"Cowpea, white",Vigna catjang,Grain Legumes,"A. Lesera mahor guti; B. Barbati; E. Black eyed peas, Lobia peas; G. Chorap; H. Lobia; Kan. Alasande; Kh. Rymbai lieh; Mal. Vella payaru; M. Pong Hawai; Mar. Chavli; N. Bodi; O. Jhudunga; P. Lobia; S. Raajamaassa; Tam. Karamani; Tel. Bobbarlu; U. Baunir."
B007,"Field bean, black",Phaseolus vulgaris,Grain Legumes,"A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai Ri iong; Mal. Avar; Mar. Papta; O. Baragudi; P. Sem dal; Tam. Mochai; Tel. Chikkudu ginjalu."
B008,"Field bean, brown",Phaseolus vulgaris,Grain Legumes,"A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai ri saw; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Mochai; Tel. Chikkudu ginjalu."
B009,"Field bean, white",Phaseolus vulgaris,Grain Legumes,"A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai Ri lieh; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Mochai; Tel. Chikkudu ginjalu."
B010,"Green gram, dal",Vigna radiata,Grain Legumes,"A. Dhua mogu dail; B. Mung dal; E. Mung bean, Maash, Moong; G. Mug ni daad; H. Mug dal; Kan. Hesara bele; Kash. Muang dal; Kh. U dai stem; Mal. Cheru payar parippu; M. Mung Hawai; Mar. Mug dal; N. Moong ko khoste; O. Muga Dali; P. Mungi-di-dal; Tam. Payatham paruppu; Tel. Pesara pappu; U. Moong dal."
B011,"Green gram, whole",Vigna radiata,Grain Legumes,"A. Gota mogu mah; B. Moog; E. Mung bean, Maash, Moong; G. Mug; H. Mung; Kan. Hesare kalu; Kash. Muang; Kh. U dai jyrngam; Mal. Cheru Pararu; M. Mung Hawai; Mar. Mun; N. Moong; O. Muga; P. Sabut moong dal; S. Mudra; Tam. Pasipayir; Tel. Pesalu; U. Moong."
B012,"Horse gram, whole",Dolicus biflorus,Grain Legumes,"B. Kulotto- kalai; E. Kulthi bean, Hurali, Madras gram; G. Kuleeth; H. Kulthi; Kan. Hurule; Kash. Kurath; Mal. Muthira; Mar. Kuleeth; N. Bakulla; O. Kolatha; S. Kulattha; Tam. Kollu; Tel. Ulavalu; U. Kulthi."
B013,"Lentil, dal",Lens culinaris,Grain Legumes,A. Masur dail; B. Mosur dal; G. Masoor ni daad; H. Masoor dal; Kan. Laki Bele; Kash. Masoor; Kh. U dai saw; Mal. Vattu parippu; M. Hawai Masuri; Mar. lank dal; O. Masura dali; P. Dhooli masari dal; S. Triputta; Tam. Khesari paruppu; Tel. Lanka pappu.
B014,"Lentil, whole, brown",Lens culinaris,Grain Legumes,A. Gota masur mah; B. Mosur; G. Masoor (Kathai); H. Masur dal; Kan. Masur bele; Kash. Masoor; Mal. Masur parippu; M. Hawai Masuri; Mar. Masur dal; N. Musuroo; O. Masura; P. Saboot masari dal; S. Masura; Tam. Mysore paruppu; Tel. Misur pappu; U. Masur dal.
B015,"Lentil, whole, yellowish",Lens culinaris,Grain Legumes,H. Masur dal; Tel. Misur pappu; Tam. Mysore paruppu; Kan. Masur bele; Mal. Masur parippu; Mar. Masur dal; O. Masura; B. Mosur; G. Masoor rakhoda; P. Saboot masari dal; U. Masur dal; A. Mosur (Dail); Kash. Masoor; S. Masura Musuroo; M. Hawai Masuri; Kh. U dai saw.
B016,Moth bean,Vigna aconitifolia,Grain Legumes,"E. Mat bean, Turkish gram, Dew bean; H. Motha; Tam. Narippayir; Kan. Matki Kal; Mar. Matki; B. Kheri; G. Math; P. Bhiopnitam; P. Moth dal; Kh. Rymbai."
B017,"Peas, dry",Pisum sativum,Grain Legumes,"A. Gota motor; B. Matar; G. Sukha vatana; H. Sukhi Matar; Kan. Batani; Kash. Kaza; Kh. Shana mator; Mal. Pattani; Tam. Pattani; O. Matara; P. Sukhe hare matar dal; Kan., Tel. Batani; Kash. Kara; M. Hawai mangal."
B018,"Rajmah, black",Phaseolus vulgaris,Grain Legumes,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (Kadi); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma heh; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Kale rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma."
B019,"Rajmah, brown",Phaseolus vulgaris,Grain Legumes,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (Gulabi); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma lieh; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Bhoore rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma."
B020,"Rajmah, red",Phaseolus vulgaris,Grain Legumes,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (lal); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma rit; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Lal rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma."
B021,"Red gram, dal",Cajanus cajan,Grain Legumes,"A. Rohor dail; B., Kash., H. Arhar dal; E. Pigeon pea; G. Tuver ni daad; Kan. Thugare bele; Kash. Masur; Kh. Dai shana; Mal. Tuvaru parippu; M. Mairongbi; Mar. Turdal; N. Rahar ko dal; O. Harada dal; P. Arhar dal; S. Aaddhakii; Tel. Kandi pappu; Tam. Tuvaramparuppu; U. Tuvar ki dal."
B022,"Red gram, whole",Cajanus cajan,Grain Legumes,A. Gota rohor; E. Pigeon pea; G. Tuver; H. Arhar sabud; Kash. Masur; Kh. Rymbai ja; Mal. Tuvaru parippu; M. Mairongbi; Mar. Turdal; O. Harada; P. Arhar sabut dal; Tam. Tuvarai; Tel. Kandulu; U. Tuvar.
B023,Ricebean,Vigna umbellata,Grain Legumes,B. Galmoong; E. Ricebean; H. Meth; Kh. Rymbai ja; Mal. Kattuzhunnu; M. Chakwai ; N. Shiltong.
B024,"Soya bean, brown",Glycine max,Grain Legumes,A. Soya bean; B. Garikalai; E. Soybean; G. Soya bean; H. Bhatmas; Kan. Soya bean; Kash. Muth; Kh. Toh rymbai; Mal. Soya bean; M. Nunghawai; Mar. Soya bean; N. Bhatmas; O. Soya bean; P. Soya bean dal; Tam. Soya bean; Tel. Soya bean; U. Soya.
