code,name,steaming,roasting,microwaving,grilling,frying,boiling,steaming_explanation,roasting_explanation,microwaving_explanation,grilling_explanation,frying_explanation,boiling_explanation
code,Food Code,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,
name,Food Name,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,
scie,Scientific Name,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,
lang,Local Name,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,
grup,Food Group,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,
regn,No. of Regions,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,
tags,Tags,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,
water,Moisture,0.970,0.700,0.925,0.850,0.000,1.000,Moisture may increase or decrease depending on food structure.,Moisture loss due to dry heat.,Average of 90–95% based on minimal leaching and steam evaporation losses.,Evaporates during grilling; conservative estimate from literature,Water evaporates rapidly during deep-frying—moisture loss is complete,Boiling does not destroy water content; moisture content often increases due to water absorption
protcnt,Protein,1.000,0.950,0.975,1.000,0.950,0.850,Proteins are heat-stable during steaming; nearly full retention across vegetables and meats.,"Protein denatures but is mostly retained, concentrated by moisture loss.",Generally stable; slight denaturation may enhance digestibility.,Stable under heat; digestibility increases; USDA confirms high retention,Proteins denature but remain nutritionally intact with minimal loss,Boiling causes denaturation but not major protein loss; some amino acids may leach into water (avg from PDF: 85%±5%)
ash,Ash,1.000,1.000,0.975,1.000,0.980,1.000,Ash (mineral content) is heat-stable and not water-leached during steaming.,Inorganic minerals remain stable through roasting.,Includes stable minerals; minimal degradation or loss.,Mineral content unchanged; residual remains after moisture loss,Inorganic minerals are heat-stable; minor losses due to sticking or leaching,Assumed stable; ash is mineral residue and unaffected by heat or water
fatce,Total Fat,0.985,1.050,0.975,0.850,1.000,0.800,Fat is retained since steaming uses no oil; slight variation due to structural changes.,"Increased concentration due to water loss; may vary by food type (e.g., nuts).",Stable unless overheated (>5 min); minimal oxidation at standard microwave durations.,Fat drips off during grilling; consistent with studies on meats,Intrinsic fat retained; absorbed oil increases net fat but not lost,Fats are largely stable but some may render or leach in broth; avg based on legumes and meat boiling
fibtg,Dietary Fiber,1.000,0.950,0.975,1.000,0.950,0.950,Fiber structure remains mostly unchanged in steaming; full retention assumed.,Minimal degradation; some structural changes noted but generally stable.,Structural fiber preserved; small shifts between soluble/insoluble.,"Heat-stable, indigestible, unchanged by grilling","Minor structural breakdown, otherwise stable in frying",Fiber is structurally stable and water-insoluble for most types; only minimal loss reported
fibins,Insoluble Dietary Fiber,1.000,1.000,0.950,1.000,0.950,0.950,"Insoluble fiber (e.g., cellulose, lignin) is structurally stable and not degraded by steam; fully retained.",No loss reported in insoluble fiber in cocoa and nuts.,May slightly decrease; varies by vegetable.,"Stable under heat, not dissolved",Similar to total fiber; not degraded significantly,Similar to total fiber; very limited leaching and degradation
fibsol,Soluble Dietary Fiber,1.000,0.900,1.000,1.000,0.900,0.900,"Soluble fiber (e.g., pectin, gums) is water-soluble but not leached in steaming; no direct water contact ensures full retention.","Slight variability possible, but generally retained based on matrix and roasting duration.",May increase due to fiber-protein complex formation.,Stable under dry heat; no major degradation,More heat-sensitive than insoluble fiber; slight degradation,More likely to dissolve in water than insoluble; moderate retention assumed based on behavior
choavldf,Carbohydrate,1.000,0.980,0.975,1.000,0.950,0.950,Carbohydrates are stable; minimal sugar leaching occurs in steaming.,Minor caramelization loss; variable across food types (macadamia vs. sweet potato).,Minimal impact; starch structure changes without content loss.,"Mostly stable; transformations (e.g., Maillard) affect structure, not quantity",Some degradation due to Maillard browning or caramelization,Carbohydrates remain mostly stable; some leaching of sugars possible
enerc,Energy,1.000,1.050,0.975,1.000,1.000,0.950,Energy content retained as macronutrients remain intact.,Increased energy density due to water loss and concentration effect.,"Derived from macronutrient retention (fat, carbs, protein).",Energy retained as long as protein/fat/carbs retained,Energy retention follows macronutrient trends; oil absorption may increase it,Reflects preserved macronutrient energy content; matches retention of carbs and fat
thia,Thiamine (B1),0.780,0.700,0.900,0.700,0.700,0.680,Heat- and water-sensitive; typically shows 75–85% retention in vegetables.,"Heat-sensitive B1, losses range from 11-84% depending on temp/duration.",Heat-sensitive; retention ranges from 85–95% in vegetables.,Heat-sensitive; USDA broiled values suggest 60–75% retention,Heat-sensitive and water-soluble; significant losses during frying,Average retention value directly reported in the documents
ribf,Riboflavin (B2),0.950,0.850,0.925,0.970,0.850,0.750,Relatively stable under heat; high retention in vegetables when steamed.,Relatively heat-stable; consistent across roasted meats and veg.,Retention ranges 90–95%; milk and peas tested stable.,Relatively heat-stable; USDA broiled values show high retention,Relatively stable but susceptible to light and prolonged heat,Average from documents; more stable than other B vitamins
nia,Niacin (B3),0.930,0.900,0.925,0.870,0.900,0.850,Niacin is heat-stable; retention is >90% in most studies.,"Very stable, may even increase bioavailability in some foods (e.g., coffee).",Heat-stable; mostly retained in plant and meat products.,Moderately stable; average based on USDA values across meats,Fairly stable under frying conditions,Relatively stable; average value from multiple boiling sources
pantac,Pantothenic acid (B5),0.850,0.850,0.850,0.850,0.800,0.800,Moderate sensitivity to heat.,"Reported as moderately stable, ~85% from USDA and compound studies.",Moderately stable; degradation 10–20%.,Similar to niacin in structure/solubility; estimated from analogous behavior,Moderately sensitive to heat; partial degradation expected,Average from retention tables
vitb6c,Total B6,0.880,0.800,0.850,0.730,0.750,0.750,Heat-sensitive; drops slightly but steaming avoids significant loss.,Loss due to diffusion; heat-stable under shorter times.,Heat-sensitive; typical retention 80–90% across food types.,USDA broiled pork/chicken average; moderate heat sensitivity,Water-soluble and moderately heat-labile; ~25% lost,Average value from boiling data tables
biot,Biotin (B7),0.870,0.850,0.925,0.800,0.800,0.950,Retention estimated at ~85–100% due to stability in moist heat.,Generally stable during processing; ~85-90% retained across studies.,Generally stable; minor heat degradation expected.,Water-soluble but relatively stable; estimated based on vitamin class,"Some degradation occurs with high heat, though it’s fairly stable",Very stable during boiling as per multiple sources
folsum,Folates (B9),0.910,0.750,0.800,0.750,0.650,0.650,Steaming minimizes leaching; folates show good retention.,Sensitive to heat; retention ranges from 60%-95% depending on food matrix.,Wide variation across foods; average estimated at 75–85%.,Heat and water-sensitive; USDA broiled meats suggest 60–85%,Highly sensitive to heat; deep-frying causes significant loss,Water-soluble and heat-sensitive; significant leaching
vitc,Ascorbic acids (C),0.900,0.500,0.850,0.750,0.600,0.600,Water-soluble and heat-sensitive; steaming preserves more than boiling.,Highly heat-sensitive; 50-75% retained depending on food/water loss.,Moderately heat-sensitive; retention ranges 70–90% in leafy greens.,Very heat-labile; USDA broiled vegetables suggest 65–80%,Highly water- and heat-sensitive; degraded during high-temp frying,Highly sensitive; average from range (50–70%)
retol,Retinol,0.950,0.850,0.950,0.830,0.850,0.900,Fat-soluble vitamin; stable during steaming.,"Moderately stable; ~75-90% reported, affected by presence of fat and oxidation.",Fat-soluble; stable during microwaving.,Fat-soluble and moderately stable; USDA broiled meats average ~75–90%,Fat-soluble vitamin A is moderately oxidized at frying temperatures,Fat-soluble; mostly stable during boiling
ergcal,Ergocalciferol (D2),1.000,0.950,1.000,0.850,0.900,0.900,Heat-stable fat-soluble vitamin; ~100% retention assumed.,Stable under roasting.,Retention >100% possible in eggs; conservative estimate used.,Fat-soluble; similar stability to D3; retained well in dry heat,"Fairly stable during frying, though some loss from oxidation",Fat-soluble; assumed high retention per related fat-soluble vitamin behavior
chocal,Cholecalciferol (D3),1.000,0.950,1.000,0.900,0.900,0.900,"Like D2, assumed full retention based on fat-soluble vitamin stability.",Stable under roasting; vitamin D3 heat retention ranges from 72-111% depending on food.,Stable in enriched eggs; retention >100% observed.,USDA broiled fish and meat show high retention,Similar to D2; moderately heat-stable,Fat-soluble; assumed high retention per related fat-soluble vitamin behavior
doh25,25-OH-D3,1.000,0.900,0.950,0.850,0.900,0.900,25-Hydroxycholecalciferol is fat-soluble and heat-stable; no significant degradation reported during steaming of fish or meat.,Estimated based on similar trends to vitamin D3; no precise roasting-specific figure but likely stable.,Metabolite of D3; average between 72–111% in studies.,Stable form of vitamin D3; estimated similar to cholecalciferol,Derived from D3; similar thermal stability,Same retention applied as D2/D3
